r(x_rel=0)	t=0	t=1000	t=1665
0	29866	19076.731	6607.2228
0.20206897	29866	19066.105	6587.7311
0.40413793	29866	19055.481	6568.2532
0.6062069	29866	19040.616	6541.0133
0.80827586	29866	19020.908	6504.9311
1.0103448	29866	18996.167	6459.6809
1.2124138	29866	18966.312	6405.1526
1.4144828	29866	18931.309	6341.3268
1.6165517	29866	18891.144	6268.2342
1.8186207	29866	18845.814	6185.9373
2.0206897	29866	18795.322	6094.5227
2.2227586	29866	18739.672	5994.0951
2.4248276	29866	18678.864	5884.7736
2.6268966	29866	18612.895	5766.6879
2.8289655	29866	18541.753	5639.9742
3.0310345	29866	18465.412	5504.7712
3.2331034	29866	18383.831	5361.2154
3.4351724	29866	18296.952	5209.4369
3.6372414	29866	18204.694	5049.5551
3.8393103	29866	18106.952	4881.6765
4.0413793	29866	18003.602	4705.8936
4.2434483	29866	17894.496	4522.2877
4.4455172	29866	17779.469	4330.9355
4.6475862	29866	17658.348	4131.9202
4.8496552	29866	17530.953	3925.3463
5.0517241	29866	17397.11	3711.3548
5.2537931	29866	17256.655	3490.1325
5.4558621	29866	17109.439	3261.9
5.657931	29866	16955.318	3026.8542
5.86	29866	16794.189	2785.0779
