r(x_rel=1)	t=0	t=1000	t=1665
0	29866	9821.9842	3755.4259
0.20206897	29866	9811.7173	3748.7547
0.40413793	29866	9801.4531	3742.0713
0.6062069	29866	9787.089	3732.6885
0.80827586	29866	9768.0441	3720.1961
1.0103448	29866	9744.1303	3704.4274
1.2124138	29866	9715.2674	3685.2752
1.4144828	29866	9681.4181	3662.6489
1.6165517	29866	9642.5665	3636.4609
1.8186207	29866	9598.7115	3606.6214
2.0206897	29866	9549.8638	3573.0366
2.2227586	29866	9496.0477	3535.608
2.4248276	29866	9437.3024	3494.2338
2.6268966	29866	9373.6849	3448.8093
2.8289655	29866	9305.272	3399.2291
3.0310345	29866	9232.1608	3345.3893
3.2331034	29866	9154.4688	3287.1893
3.4351724	29866	9072.3299	3224.535
3.6372414	29866	8985.8902	3157.3403
3.8393103	29866	8895.3	3085.5297
4.0413793	29866	8800.7062	3009.0389
4.2434483	29866	8702.2432	2927.8147
4.4455172	29866	8600.0262	2841.8135
4.6475862	29866	8494.146	2750.9971
4.8496552	29866	8384.6684	2655.3265
5.0517241	29866	8271.6368	2554.7541
5.2537931	29866	8155.0795	2449.2148
5.4558621	29866	8035.0187	2338.6198
5.657931	29866	7911.4806	2222.858
5.86	29866	7784.5295	2101.8468
