r(x_rel=1)	t=0	t=1000	t=2000	t=2360
0	29866	15094.016	5063.7012	2684.6898
0.20206897	29866	15080.939	5058.7852	2677.2691
0.40413793	29866	15067.855	5053.8758	2669.8454
0.6062069	29866	15049.527	5047.0168	2659.4456
0.80827586	29866	15025.191	5037.9429	2645.6384
1.0103448	29866	14994.582	5026.5814	2628.273
1.2124138	29866	14957.56	5012.9156	2607.2732
1.4144828	29866	14914.037	4996.9529	2582.5904
1.6165517	29866	14863.939	4978.7141	2554.1882
1.8186207	29866	14807.205	4958.2283	2522.0359
2.0206897	29866	14743.773	4935.5303	2486.1059
2.2227586	29866	14673.581	4910.6584	2446.3723
2.4248276	29866	14596.569	4883.6538	2402.8104
2.6268966	29866	14512.674	4854.5584	2355.3962
2.8289655	29866	14421.833	4823.4145	2304.1064
3.0310345	29866	14323.986	4790.2633	2248.918
3.2331034	29866	14219.076	4755.1441	2189.8083
3.4351724	29866	14107.049	4718.0933	2126.7538
3.6372414	29866	13987.863	4679.1437	2059.7297
3.8393103	29866	13861.484	4638.3234	1988.7081
4.0413793	29866	13727.895	4595.6558	1913.6561
4.2434483	29866	13587.095	4551.1589	1834.5323
4.4455172	29866	13439.104	4504.8454	1751.2828
4.6475862	29866	13283.966	4456.7233	1663.8352
4.8496552	29866	13121.749	4406.7971	1572.0908
5.0517241	29866	12952.548	4355.0698	1475.9142
5.2537931	29866	12776.482	4301.5459	1375.1201
5.4558621	29866	12593.694	4246.2358	1269.4561
5.657931	29866	12404.349	4189.1619	1158.5811
5.86	29866	12208.671	4130.3784	1042.0701
