r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	29866	21424.503	9261.4416	3587.2288
0.20206897	29866	21414.896	9249.7906	3575.2081
0.40413793	29866	21405.294	9238.1388	3563.1939
0.6062069	29866	21391.86	9221.8241	3546.3874
0.80827586	29866	21374.059	9200.1782	3524.1168
1.0103448	29866	21351.723	9172.975	3496.1729
1.2124138	29866	21324.789	9140.1072	3462.4765
1.4144828	29866	21293.239	9101.5115	3423.0003
1.6165517	29866	21257.077	9057.1427	3377.7435
1.8186207	29866	21216.323	9006.9627	3326.7201
2.0206897	29866	21171.008	8950.9342	3269.9535
2.2227586	29866	21121.173	8889.0176	3207.4729
2.4248276	29866	21066.871	8821.1677	3139.3105
2.6268966	29866	21008.16	8747.3316	3065.5005
2.8289655	29866	20945.109	8667.4469	2986.0766
3.0310345	29866	20877.796	8581.4396	2901.0712
3.2331034	29866	20806.308	8489.2228	2810.5139
3.4351724	29866	20730.741	8390.6947	2714.4309
3.6372414	29866	20651.2	8285.7379	2612.8441
3.8393103	29866	20567.796	8174.2178	2505.7713
4.0413793	29866	20480.652	8055.9823	2393.2266
4.2434483	29866	20389.894	7930.8614	2275.2227
4.4455172	29866	20295.656	7798.6673	2151.7735
4.6475862	29866	20198.075	7659.1947	2022.8993
4.8496552	29866	20097.29	7512.2221	1888.635
5.0517241	29866	19993.439	7357.5123	1749.0409
5.2537931	29866	19886.658	7194.8126	1604.2188
5.4558621	29866	19777.076	7023.855	1454.3336
5.657931	29866	19664.812	6844.3518	1299.643
5.86	29866	19549.998	6656.039	1140.5697
