r(x_rel=0)	t=0	t=1000	t=2000	t=2360
0	17038	23194.13	38496.233	44223.415
0.18	17038	23267.769	38582.779	44308.461
0.36	17038	23341.479	38669.319	44393.493
0.54	17038	23444.827	38790.463	44512.506
0.72	17038	23582.19	38951.144	44670.324
0.9	17038	23755.205	39152.99	44868.519
1.08	17038	23964.799	39396.724	45107.764
1.26	17038	24211.671	39682.717	45388.378
1.44	17038	24496.441	40011.167	45710.505
1.62	17038	24819.717	40382.179	46074.19
1.8	17038	25182.125	40795.794	46479.406
1.98	17038	25584.328	41252.007	46926.075
2.16	17038	26027.028	41750.777	47414.072
2.34	17038	26510.969	42292.024	47943.224
2.52	17038	27036.939	42875.635	48513.308
2.7	17038	27605.763	43501.455	49124.045
2.88	17038	28218.296	44169.294	49775.086
3.06	17038	28875.415	44878.918	50466.002
3.24	17038	29578.012	45630.055	51196.268
3.42	17038	30326.984	46422.401	51965.247
3.6	17038	31123.233	47255.633	52772.17
3.78	17038	31967.662	48129.429	53616.118
3.96	17038	32861.188	49043.495	54496.01
4.14	17038	33804.744	49997.6	55410.586
4.32	17038	34799.298	50991.61	56358.407
4.5	17038	35845.849	52025.529	57337.853
4.68	17038	36945.401	53099.523	58347.138
4.86	17038	38098.888	54213.948	59384.315
5.04	17038	39307.057	55369.344	60447.271
5.22	17038	40570.024	56566.15	61533.456
