r(x_rel=1)	t=0	t=1000	t=2000	t=2360
0	17038	22281.968	36181.599	41411.656
0.18	17038	22348.582	36259.609	41490.583
0.36	17038	22415.301	36337.625	41569.516
0.54	17038	22508.932	36446.86	41680.036
0.72	17038	22633.528	36591.782	41826.667
0.9	17038	22790.688	36773.899	42010.933
1.08	17038	22981.398	36993.907	42233.542
1.26	17038	23206.447	37252.201	42494.892
1.44	17038	23466.567	37549.036	42795.24
1.62	17038	23762.475	37884.598	43134.772
1.8	17038	24094.899	38259.035	43513.632
1.98	17038	24464.573	38672.48	43931.949
2.16	17038	24872.238	39125.057	44389.839
2.34	17038	25318.633	39616.891	44887.422
2.52	17038	25804.486	40148.112	45424.825
2.7	17038	26330.503	40718.859	46002.187
2.88	17038	26897.357	41329.284	46619.674
3.06	17038	27505.677	41979.548	47277.482
3.24	17038	28156.04	42669.824	47975.844
3.42	17038	28848.955	43400.29	48715.047
3.6	17038	29584.863	44171.123	49495.433
3.78	17038	30364.12	44982.486	50317.408
3.96	17038	31186.993	45834.507	51181.449
4.14	17038	32053.655	46727.265	52088.095
4.32	17038	32964.177	47660.752	53037.94
4.5	17038	33918.532	48634.853	54031.609
4.68	17038	34916.592	49649.316	55069.729
4.86	17038	35958.135	50703.726	56152.882
5.04	17038	37042.852	51797.496	57281.564
5.22	17038	38170.073	52929.599	58455.884
