r(x_rel=0.75)	t=0	t=1000	t=2000	t=2360
0	17038	22215.187	36099.731	41342.405
0.18	17038	22281.688	36177.822	41421.606
0.36	17038	22348.3	36255.921	41500.815
0.54	17038	22441.79	36365.277	41611.723
0.72	17038	22566.218	36510.372	41758.875
0.9	17038	22723.195	36692.719	41943.802
1.08	17038	22913.721	36913.029	42167.222
1.26	17038	23138.603	37171.708	42429.541
1.44	17038	23398.586	37469.024	42731.023
1.62	17038	23694.405	37805.177	43071.865
1.8	17038	24026.796	38180.33	43452.223
1.98	17038	24396.501	38594.629	43872.234
2.16	17038	24804.264	39048.21	44332.027
2.34	17038	25250.819	39541.207	44831.732
2.52	17038	25736.888	40073.757	45371.485
2.7	17038	26263.162	40646.001	45951.431
2.88	17038	26830.297	41258.089	46571.738
3.06	17038	27438.899	41910.176	47232.595
3.24	17038	28089.513	42602.429	47934.225
3.42	17038	28782.617	43335.02	48676.89
3.6	17038	29518.605	44108.121	49460.897
3.78	17038	30297.782	44921.897	50286.606
3.96	17038	31120.353	45776.497	51154.43
4.14	17038	31986.414	46672.032	52064.841
4.32	17038	32895.944	47608.559	53018.362
4.5	17038	33848.795	48586.061	54015.556
4.68	17038	34844.685	49604.426	55057.009
4.86	17038	35883.191	50663.433	56143.31
5.04	17038	36963.752	51762.746	57275.029
5.22	17038	38085.422	52901.647	58452.434
