r(x_rel=0.25)	t=0	t=1000	t=2000	t=2360
0	29866	20927.38	8814.0899	3472.4062
0.20206897	29866	20918.331	8802.907	3461.0989
0.40413793	29866	20909.288	8791.7183	3449.7952
0.6062069	29866	20896.642	8776.0418	3433.9774
0.80827586	29866	20879.891	8755.2246	3413.0078
1.0103448	29866	20858.885	8729.0343	3386.6818
1.2124138	29866	20833.572	8697.3494	3354.915
1.4144828	29866	20803.942	8660.0872	3317.6704
1.6165517	29866	20770.008	8617.1794	3274.9338
1.8186207	29866	20731.796	8568.5628	3226.7037
2.0206897	29866	20689.345	8514.1734	3172.9862
2.2227586	29866	20642.699	8453.9443	3113.7915
2.4248276	29866	20591.91	8387.8035	3049.1327
2.6268966	29866	20537.036	8315.6733	2979.0238
2.8289655	29866	20478.137	8237.4693	2903.4791
3.0310345	29866	20415.279	8153.0997	2822.5123
3.2331034	29866	20348.527	8062.4651	2736.1358
3.4351724	29866	20277.948	7965.4582	2644.3607
3.6372414	29866	20203.608	7861.9635	2547.1968
3.8393103	29866	20125.571	7751.857	2444.6533
4.0413793	29866	20043.897	7635.0064	2336.7398
4.2434483	29866	19958.638	7511.2701	2223.4685
4.4455172	29866	19869.84	7380.4973	2104.8575
4.6475862	29866	19777.54	7242.5266	1980.9347
4.8496552	29866	19681.764	7097.1852	1851.7451
5.0517241	29866	19582.528	6944.2868	1717.3584
5.2537931	29866	19479.838	6783.6292	1577.8809
5.4558621	29866	19373.693	6614.9909	1433.4707
5.657931	29866	19264.091	6438.1275	1284.3564
5.86	29866	19151.062	6252.8156	1130.895
