r(x_rel=0.25)	t=0	t=1000	t=2000	t=2360
0	17038	22724.673	37360.252	42893.229
0.18	17038	22795.212	37443.235	42976.107
0.36	17038	22865.84	37526.223	43058.982
0.54	17038	22964.906	37642.413	43175.001
0.72	17038	23096.648	37796.556	43328.894
0.9	17038	23262.684	37990.243	43522.229
1.08	17038	23463.968	38224.203	43755.712
1.26	17038	23701.229	38498.835	44029.714
1.44	17038	23975.123	38814.381	44344.448
1.62	17038	24286.286	39171.001	44700.042
1.8	17038	24635.358	39568.802	45096.572
1.98	17038	25022.992	40007.856	45534.076
2.16	17038	25449.855	40488.211	46012.568
2.34	17038	25916.631	41009.893	46532.037
2.52	17038	26424.009	41572.908	47092.452
2.7	17038	26972.684	42177.245	47693.756
2.88	17038	27563.351	42822.874	48335.867
3.06	17038	28196.689	43509.746	49018.673
3.24	17038	28873.363	44237.798	49742.023
3.42	17038	29594.011	45006.949	50505.726
3.6	17038	30359.236	45817.112	51309.545
3.78	17038	31169.6	46668.193	52153.188
3.96	17038	32025.617	47560.113	53036.313
4.14	17038	32927.747	48492.818	53958.521
4.32	17038	33876.396	49466.302	54919.375
4.5	17038	34871.921	50480.628	55918.403
4.68	17038	35914.648	51535.949	56955.132
4.86	17038	37004.889	52632.528	58029.108
5.04	17038	38142.961	53770.741	59139.931
5.22	17038	39328.892	54950.804	60286.999
