r(x_rel=0)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.005	17040.35	17243.254	19409.441	21077.467	22932.531	24880.823	26862.167	30871.913	31892.65	32921.988	33958.453	34999.886	36044.096	47418.495	48029.169	50980.994	51319.298	51309.674	50483.85	47200.978	46242.552	45263.67	44275.394	43282.673	42287.135	41288.274	40284.8	39275.885	38261.945	37244.748	36226.898	35211	34299.869
0.18	17038	17038.008	17040.865	17256.452	19451.39	21125.769	22984.364	24934.128	26915.844	30926.808	31948.035	32977.808	34014.599	35056.233	36100.533	47473.522	48084.049	51008.339	51326.998	51299.527	50449.903	47149.688	46189.986	45210.442	44221.856	43228.98	42233.294	41234.217	40230.456	39221.24	38207.065	37189.763	36171.959	35156.236	34245.315
0.36	17038	17038.011	17041.424	17269.923	19493.445	21174.134	23036.229	24987.442	26969.524	30981.717	32003.433	33033.639	34070.751	35112.583	36156.97	47528.544	48138.921	51035.16	51334.163	51288.95	50415.735	47098.356	46137.396	45157.202	44168.313	43175.283	42179.449	41180.154	40176.105	39166.588	38152.18	37134.776	36117.024	35101.477	34190.768
0.54	17038	17038.016	17042.306	17289.363	19552.548	21241.98	23108.907	25062.1	27044.682	31058.618	32081.017	33111.824	34149.38	35191.482	36235.985	47605.566	48215.723	51071.587	51343.059	51273.235	50367.431	47026.402	46063.721	45082.643	44093.342	43100.101	42104.056	41104.45	40099.994	39090.059	38075.331	37057.795	36040.123	35024.829	34114.416
0.72	17038	17038.025	17043.669	17316.183	19631.347	21332.216	23205.433	25161.169	27144.39	31160.682	32183.983	33215.578	34253.709	35296.156	36340.803	47707.718	48317.571	51117.904	51352.858	51250.797	50302.535	46930.796	45965.902	44983.696	43993.872	43000.357	42004.027	41003.999	39999	38988.511	37973.371	36955.674	35938.124	34923.175	34013.159
0.9	17038	17038.042	17045.721	17351.533	19730.978	21445.962	23326.889	25285.69	27269.679	31288.998	32313.429	33345.996	34384.829	35427.691	36472.503	47836.034	48445.476	51172.875	51362.003	51220.102	50219.714	46810.434	45842.868	44859.315	43868.87	42875.018	41878.319	40877.748	39872.058	38860.881	37845.241	36827.367	35809.994	34795.494	33885.977
1.08	17038	17038.073	17048.764	17396.668	19852.223	21583.881	23473.844	25436.155	27421.025	31444.099	32469.885	33503.601	34543.253	35586.586	36631.574	47990.968	48599.871	51234.48	51368.427	51179.405	50117.826	46664.715	45694.08	44708.999	43717.854	42723.604	41726.446	40725.198	39718.663	38706.664	37690.448	36672.399	35655.275	34641.339	33732.427
1.26	17038	17038.128	17053.231	17453.035	19995.772	21746.492	23646.673	25612.845	27598.693	31626.31	32653.671	33688.702	34729.27	35773.118	36818.283	48172.752	48780.948	51300.076	51369.633	51126.713	49995.724	46493.221	45519.196	44532.456	43540.555	42545.848	41548.128	40546.057	39538.518	38525.57	37508.719	36490.518	35473.733	34460.487	33552.285
1.44	17038	17038.229	17059.74	17522.293	20162.307	21934.26	23845.671	25815.946	27802.85	31835.865	32865.014	33901.507	34943.072	35987.459	37032.786	48381.508	48988.775	51366.447	51362.731	51059.793	49852.197	46295.612	45317.968	44329.491	43336.8	42341.578	41343.181	40340.127	39331.422	38317.406	37299.883	36281.576	35265.243	34252.824	33345.437
1.62	17038	17038.412	17069.152	17606.314	20352.536	22147.639	24071.093	26045.587	28033.617	32072.956	33104.094	34142.174	35184.793	36229.725	37275.184	48617.299	49223.334	51429.83	51344.496	50976.207	49685.966	46071.588	45090.193	44099.962	43106.472	42110.671	41111.465	40107.254	39097.218	38082.031	37063.823	36045.488	35029.742	34018.299	33111.824
1.8	17038	17038.744	17082.654	17707.162	20567.193	22387.08	24323.166	26301.867	28291.088	32337.757	33371.067	34410.833	35454.537	36499.998	37545.544	48880.15	49484.524	51485.945	51311.415	50873.35	49495.693	45820.873	44835.702	43843.758	42849.479	41853.029	40852.863	39847.306	38835.774	37819.331	36800.457	35782.204	34767.206	33756.897	32851.425
