r(x_rel=0)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	29866	29750.731	29228.428	28000.697	25558.771	24272.793	22798.45	21138.851	19634.287	17008.425	16317.051	15588.018	14807.889	13962.624	13041.273	2446.8015	2046.7946	3761.5178	4460.6355	5108.1741	6363.1176	9137.2352	9802.4531	10431.37	11028.16	11603.831	12171.052	12742.44	13327.726	13933.183	14563.207	15221.741	15913.153	16642.776	17336.551
0.20206897	29866	29747.618	29223.461	27995.622	25553.696	24267.216	22791.829	21132.016	19628.657	17002.856	16311.217	15581.819	14801.211	13955.35	13033.341	2439.0135	2043.0042	3767.5063	4466.1781	5113.3251	6368.4368	9142.8965	9807.7955	10436.403	11032.969	11608.517	12175.724	12747.195	13332.628	13938.272	14568.515	15227.301	15919.004	16648.967	17343.081
0.40413793	29866	29744.486	29218.492	27990.546	25548.62	24261.638	22785.206	21125.183	19623.029	16997.286	16305.382	15575.619	14794.531	13948.072	13025.407	2431.2361	2039.2562	3773.4935	4471.7186	5118.475	6373.7574	9148.5565	9813.1364	10441.436	11037.779	11613.203	12180.396	12751.951	13337.531	13943.361	14573.824	15232.862	15924.857	16655.159	17349.613
0.6062069	29866	29740.058	29211.532	27983.442	25541.514	24253.825	22775.928	21115.622	19615.154	16989.486	16297.211	15566.934	14785.173	13937.879	13014.292	2420.3705	2034.0994	3781.8728	4479.4706	5125.6826	6381.2093	9156.4776	9820.6106	10448.478	11044.51	11619.762	12186.937	12758.61	13344.396	13950.489	14581.258	15240.65	15933.053	16663.831	17358.76
0.80827586	29866	29734.111	29202.295	27974.018	25532.085	24243.455	22763.611	21102.947	19604.715	16979.136	16286.367	15555.408	14772.752	13924.346	12999.538	2405.9985	2027.4204	3792.9834	4489.7457	5135.2399	6391.1	9166.9802	9830.5199	10457.816	11053.437	11628.462	12195.615	12767.445	13353.505	13959.947	14591.124	15250.984	15943.93	16675.342	17370.901
1.0103448	29866	29726.524	29190.681	27962.179	25520.236	24230.415	22748.121	21087.035	19591.61	16966.126	16272.734	15540.915	14757.132	13907.328	12980.985	2388.0104	2019.2888	3806.9351	4502.6422	5147.2415	6403.5355	9180.1678	9842.9615	10469.542	11064.648	11639.392	12206.519	12778.549	13364.955	13971.835	14603.525	15263.976	15957.604	16689.812	17386.164
1.2124138	29866	29717.193	29176.641	27947.882	25505.922	24214.651	22729.391	21067.835	19575.8	16950.406	16256.257	15523.395	14738.247	13886.749	12958.553	2366.3906	2009.8545	3823.7743	4518.1992	5161.728	6418.5678	9196.0839	9857.9756	10483.695	11078.182	11652.589	12219.69	12791.965	13378.79	13986.201	14618.512	15279.677	15974.13	16707.303	17404.613
1.4144828	29866	29706.017	29160.146	27931.105	25489.116	24196.129	22707.376	21045.328	19557.266	16931.944	16236.901	15502.811	14716.054	13862.562	12932.19	2341.1703	1999.3258	3843.5219	4536.4316	5178.7184	6436.2291	9214.7481	9875.58	10500.292	11094.059	11668.076	12235.152	12807.717	13395.037	14003.072	14636.114	15298.118	15993.544	16727.851	17426.286
1.6165517	29866	29692.888	29141.174	27911.834	25469.801	24174.822	22682.045	21019.508	19536.004	16910.719	16214.644	15479.134	14690.521	13834.731	12901.86	2312.4141	1987.9633	3866.1864	4557.3421	5198.2218	6456.5431	9236.1683	9895.7813	10519.342	11112.287	11685.863	12252.918	12825.823	13413.714	14022.469	14656.352	15319.323	16015.868	16751.482	17451.211
1.8186207	29866	29677.694	29119.709	27890.063	25447.966	24150.709	22653.367	20990.379	19512.016	16886.715	16189.465	15452.342	14661.62	13803.224	12867.53	2280.2159	1976.0798	3891.7691	4580.9259	5220.2414	6479.5293	9260.3454	9918.5793	10540.845	11132.87	11705.957	12272.998	12846.294	13434.834	14044.405	14679.242	15343.309	16041.122	16778.217	17479.411
