r(x_rel=0.75)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
3.2331034	29866	29405.142	28575.646	26820.632	23253.857	21459.462	19916.971	18432.846	16755.636	13214.047	12339.777	11504.49	10733.624	10033.945	9388.0544	1856.3095	1862.3483	4523.2649	5370.7555	6248.3798	8022.529	11322.354	12162.736	13023.273	13903.682	14808.145	15750.113	16742.49	17776.515	18787.737	19682.813	20445.701	21137.801	21820.954	22458.859
3.4351724	29866	29358.423	28517.482	26760.289	23191.962	21399.987	19868.197	18379.745	16696.383	13153.371	12280.539	11448.56	10682.527	9987.6481	9344.8816	1816.1218	1871.8175	4580.0253	5429.1008	6308.9008	8082.1461	11378.634	12220.45	13082.43	13964.177	14870.453	15815.319	16811.336	17847.721	18855.43	19740.87	20495.329	21184.13	21867.76	22507.839
3.6372414	29866	29307.583	28455.623	26696.308	23126.281	21337.133	19816.638	18323.206	16633.499	13089.059	12217.822	11389.446	10628.586	9938.7599	9299.2034	1775.0445	1886.5629	4640.2302	5491.0676	6373.1626	8145.2446	11438.37	12281.714	13145.214	14028.379	14936.614	15884.608	16884.502	17923.275	18926.892	19801.925	20547.658	21233.199	21917.463	22559.906
3.8393103	29866	29252.489	28390.049	26628.686	23056.802	21270.943	19762.311	18263.189	16566.973	13021.113	12151.645	11327.182	10571.84	9887.3118	9251.0317	1733.7131	1907.5173	4703.8901	5556.6759	6441.1808	8211.8027	11501.576	12346.54	13211.636	14096.299	15006.649	15958.009	16962.017	18003.179	19002.054	19865.894	20602.649	21285.006	21970.077	22615.086
4.0413793	29866	29193.017	28320.739	26557.423	22983.511	21201.469	19705.229	18199.649	16496.797	12949.539	12082.029	11261.808	10512.334	9833.3365	9200.3781	1692.9569	1935.6472	4771.0173	5625.9467	6512.971	8281.7966	11568.264	12414.944	13281.708	14167.952	15080.579	16035.555	17043.913	18087.434	19080.837	19932.687	20660.263	21339.552	22025.622	22673.407
4.2434483	29866	29129.054	28247.677	26482.516	22906.395	21128.766	19645.404	18132.538	16422.964	12874.344	12008.997	11193.363	10450.113	9776.8679	9147.2533	1653.8517	1971.9199	4841.626	5698.9021	6588.5488	8355.2004	11638.45	12486.938	13355.442	14243.348	15158.427	16117.277	17130.225	18176.04	19163.154	20002.21	20720.463	21396.836	22084.118	22734.898
4.4455172	29866	29060.498	28170.849	26403.965	22825.439	21052.899	19582.842	18061.811	16345.466	12795.534	11932.574	11121.894	10385.225	9717.9404	9091.6673	1617.7864	2017.2533	4915.7325	5775.5654	6667.9295	8431.986	11712.148	12562.538	13432.85	14322.503	15240.219	16203.213	17220.984	18268.99	19248.905	20074.369	20783.215	21456.862	22145.585	22799.592
4.6475862	29866	28987.26	28090.243	26321.767	22740.626	20973.938	19517.548	17987.416	16264.296	12713.12	11852.789	11047.447	10317.721	9656.5891	9033.6287	1586.5476	2072.4429	4993.3553	5855.9608	6751.1282	8512.123	11789.375	12641.759	13513.945	14405.431	15325.982	16293.399	17316.228	18366.273	19337.984	20149.064	20848.484	21519.634	22210.048	22867.522
4.8496552	29866	28909.268	28005.848	26235.921	22651.94	20891.961	19449.519	17909.306	16179.447	12627.111	11769.672	10970.074	10247.654	9592.8495	8973.1447	1562.4269	2138.0576	5074.5152	5940.114	6838.1591	8595.5792	11870.146	12724.615	13598.739	14492.148	15415.745	16387.875	17415.991	18467.876	19430.27	20226.196	20916.241	21585.158	22277.533	22938.724
5.0517241	29866	28826.469	27917.658	26146.425	22559.36	20807.053	19378.749	17827.43	16090.914	12537.518	11683.259	10889.83	10175.078	9526.757	8910.2208	1548.3574	2214.2946	5159.2355	6028.0517	6929.0358	8682.32	11954.479	12811.124	13687.246	14582.671	15509.541	16486.684	17520.311	18573.775	19525.633	20305.666	20986.457	21653.445	22348.066	23013.237
5.2537931	29866	28738.83	27825.667	26053.277	22462.868	20719.31	19305.221	17741.738	15998.69	12444.356	11593.586	10806.773	10100.049	9458.347	8844.86	1548.0878	2300.7768	5247.5416	6119.802	7023.7704	8772.3091	12042.393	12901.3	13779.479	14677.017	15607.402	16589.869	17629.225	18683.942	19623.931	20387.374	21059.108	21724.505	22421.679	23091.102
5.4558621	29866	28646.338	27729.875	25956.476	22362.441	20628.834	19228.916	17652.181	15902.77	12347.641	11500.695	10720.965	10022.626	9387.6542	8777.0633	1566.4055	2396.2774	5339.4611	6215.394	7122.3735	8865.5084	12133.905	12995.162	13875.454	14775.206	15709.365	16697.477	17742.769	18798.338	19725.01	20471.222	21134.173	21798.355	22498.403	23172.361
5.657931	29866	28549.006	27630.281	25856.019	22258.057	20535.739	19149.802	17558.715	15803.149	12247.389	11404.632	10632.472	9942.868	9314.7123	8706.8285	1609.4214	2498.3435	5435.0234	6314.8583	7224.8536	8961.8781	12229.037	13092.725	13975.183	14877.259	15815.47	16809.556	17860.982	18916.912	19828.707	20557.116	21211.633	21875.011	22578.274	23257.062
5.86	29866	28446.891	27526.912	25751.929	22149.716	20440.164	19067.858	17461.319	15699.844	12143.645	11305.469	10541.38	9860.8534	9239.5705	8634.1669	1684.8283	2602.7823	5534.2352	6418.2014	7331.1909	9061.3549	12327.784	13193.983	14078.659	14983.173	15925.732	16926.128	17983.868	19039.574	19934.83	20644.948	21291.456	21954.474	22661.307	23345.23
