r(x_rel=0.25)	t=0	t=1000	t=1640
0	29866	18516.568	6780.3438
0.20206897	29866	18505.959	6762.2424
0.40413793	29866	18495.347	6744.1474
0.6062069	29866	18480.484	6718.8283
0.80827586	29866	18460.755	6685.2667
1.0103448	29866	18435.945	6643.1406
1.2124138	29866	18405.947	6592.3232
1.4144828	29866	18370.688	6532.768
1.6165517	29866	18330.106	6464.4715
1.8186207	29866	18284.143	6387.4579
2.0206897	29866	18232.737	6301.7727
2.2227586	29866	18175.817	6207.4794
2.4248276	29866	18113.303	6104.6582
2.6268966	29866	18045.107	5993.4052
2.8289655	29866	17971.126	5873.8312
3.0310345	29866	17891.25	5746.0615
3.2331034	29866	17805.358	5610.2346
3.4351724	29866	17713.324	5466.5001
3.6372414	29866	17615.017	5315.0172
3.8393103	29866	17510.306	5155.9514
4.0413793	29866	17399.064	4989.4712
4.2434483	29866	17281.169	4815.7441
4.4455172	29866	17156.507	4634.9327
4.6475862	29866	17024.974	4447.1896
4.8496552	29866	16886.467	4252.6535
5.0517241	29866	16740.888	4051.4451
5.2537931	29866	16588.127	3843.6646
5.4558621	29866	16428.061	3629.3884
5.657931	29866	16260.54	3408.6675
5.86	29866	16085.437	3181.5728
