r(x_rel=0.75)	t=0	t=1000	t=1640
0	29866	13649.319	4743.1442
0.20206897	29866	13634.728	4734.3512
0.40413793	29866	13620.105	4725.5528
0.6062069	29866	13599.569	4713.2234
0.80827586	29866	13572.215	4696.8471
1.0103448	29866	13537.675	4676.2374
1.2124138	29866	13495.715	4651.2933
1.4144828	29866	13446.151	4621.9422
1.6165517	29866	13388.818	4588.1205
1.8186207	29866	13323.573	4549.7648
2.0206897	29866	13250.29	4506.8077
2.2227586	29866	13168.871	4459.1749
2.4248276	29866	13079.25	4406.783
2.6268966	29866	12981.4	4349.5385
2.8289655	29866	12875.337	4287.3366
3.0310345	29866	12761.128	4220.0606
3.2331034	29866	12638.884	4147.5823
3.4351724	29866	12508.765	4069.7623
3.6372414	29866	12370.969	3986.4514
3.8393103	29866	12225.725	3897.493
4.0413793	29866	12073.285	3802.7264
4.2434483	29866	11913.915	3701.9909
4.4455172	29866	11747.882	3595.1313
4.6475862	29866	11575.458	3482.0034
4.8496552	29866	11396.91	3362.4807
5.0517241	29866	11212.509	3236.459
5.2537931	29866	11022.534	3103.8608
5.4558621	29866	10827.28	2964.634
5.657931	29866	10627.065	2818.7459
5.86	29866	10422.275	2666.2064
