r(x_rel=1)	t=0	t=1000	t=1640
0	29866	9824.1646	3949.0628
0.20206897	29866	9813.8865	3943.137
0.40413793	29866	9803.6113	3937.2003
0.6062069	29866	9789.2318	3928.8656
0.80827586	29866	9770.1668	3917.7679
1.0103448	29866	9746.2279	3903.758
1.2124138	29866	9717.3353	3886.7378
1.4144828	29866	9683.4515	3866.6218
1.6165517	29866	9644.5611	3843.3245
1.8186207	29866	9600.6628	3816.7541
2.0206897	29866	9551.7676	3786.8099
2.2227586	29866	9497.8998	3753.3806
2.4248276	29866	9439.0987	3716.3435
2.6268966	29866	9375.4213	3675.5638
2.8289655	29866	9306.9442	3630.8951
3.0310345	29866	9233.7648	3582.1796
3.2331034	29866	9156.0003	3529.2499
3.4351724	29866	9073.7849	3471.9304
3.6372414	29866	8987.2647	3410.0404
3.8393103	29866	8896.5904	3343.3979
4.0413793	29866	8801.9093	3271.8244
4.2434483	29866	8703.3562	3195.1503
4.4455172	29866	8601.0469	3113.2222
4.6475862	29866	8495.0728	3025.9093
4.8496552	29866	8385.5001	2933.1113
5.0517241	29866	8272.3728	2834.7636
5.2537931	29866	8155.7194	2730.8413
5.4558621	29866	8035.562	2621.3563
5.657931	29866	7911.9267	2506.3471
5.86	29866	7784.8777	2385.8847
