r(x_rel=0.5)	t=0	t=1000	t=1640
0	29866	16642.773	5621.0042
0.20206897	29866	16628.189	5608.2103
0.40413793	29866	16613.603	5595.4201
0.6062069	29866	16593.179	5577.5216
0.80827586	29866	16566.083	5553.7918
1.0103448	29866	16532.033	5523.9976
1.2124138	29866	16490.904	5488.0403
1.4144828	29866	16442.629	5445.8734
1.6165517	29866	16387.172	5397.4742
1.8186207	29866	16324.514	5342.8317
2.0206897	29866	16254.649	5281.9405
2.2227586	29866	16177.576	5214.7965
2.4248276	29866	16093.295	5141.3947
2.6268966	29866	16001.805	5061.7274
2.8289655	29866	15903.1	4975.7826
3.0310345	29866	15797.158	4883.5433
3.2331034	29866	15683.943	4784.987
3.4351724	29866	15563.394	4680.0856
3.6372414	29866	15435.426	4568.8062
3.8393103	29866	15299.925	4451.1111
4.0413793	29866	15156.751	4326.9595
4.2434483	29866	15005.737	4196.3083
4.4455172	29866	14846.702	4059.1137
4.6475862	29866	14679.449	3915.331
4.8496552	29866	14503.782	3764.9151
5.0517241	29866	14319.506	3607.8179
5.2537931	29866	14126.435	3443.9844
5.4558621	29866	13924.394	3273.3443
5.657931	29866	13713.212	3095.8
5.86	29866	13492.777	2911.2527
