r(x_rel=1)	t=0	t=1000	t=1640
0	17038	23673.777	34334.901
0.18	17038	23756.698	34425.289
0.36	17038	23839.766	34515.652
0.54	17038	23956.373	34642.111
0.72	17038	24111.597	34809.772
0.9	17038	24307.466	35020.276
1.08	17038	24545.241	35274.299
1.26	17038	24825.936	35572.127
1.44	17038	25150.477	35913.842
1.62	17038	25519.753	36299.39
1.8	17038	25934.635	36728.612
1.98	17038	26395.975	37201.237
2.16	17038	26904.589	37716.876
2.34	17038	27461.256	38274.993
2.52	17038	28066.7	38874.87
2.7	17038	28721.602	39515.561
2.88	17038	29426.602	40195.842
3.06	17038	30182.326	40914.161
3.24	17038	30989.39	41668.598
3.42	17038	31848.393	42456.858
3.6	17038	32759.853	43276.324
3.78	17038	33724.094	44124.219
3.96	17038	34741.108	44997.927
4.14	17038	35810.441	45895.554
4.32	17038	36931.158	46816.809
4.5	17038	38101.91	47764.228
4.68	17038	39321.028	48744.713
4.86	17038	40586.499	49771.075
5.04	17038	41895.732	50862.881
5.22	17038	43244.926	52044.763
