r(x_rel=0.75)	t=0	t=1000	t=1640
0	17038	23741.676	34727.002
0.18	17038	23826.161	34823.236
0.36	17038	23910.784	34919.484
0.54	17038	24029.546	35054.264
0.72	17038	24187.599	35233.108
0.9	17038	24386.983	35457.899
1.08	17038	24628.964	35729.531
1.26	17038	24914.562	36048.525
1.44	17038	25244.718	36415.238
1.62	17038	25620.347	36829.939
1.8	17038	26042.35	37292.853
1.98	17038	26511.612	37804.178
2.16	17038	27028.985	38364.092
2.34	17038	27595.28	38972.757
2.52	17038	28211.262	39630.323
2.7	17038	28877.661	40336.929
2.88	17038	29595.189	41092.713
3.06	17038	30364.558	41897.829
3.24	17038	31186.485	42752.492
3.42	17038	32061.672	43657.042
3.6	17038	32990.748	44612.072
3.78	17038	33974.192	45618.609
3.96	17038	35012.264	46678.404
4.14	17038	36104.968	47794.315
4.32	17038	37252.083	48970.815
4.5	17038	38453.205	50214.554
4.68	17038	39707.76	51534.876
4.86	17038	41014.918	52944.019
5.04	17038	42373.441	54456.626
5.22	17038	43781.221	56087.685
