r(x_rel=0.5)	t=0	t=1000	t=1640
0	17038	24211.405	36040.707
0.18	17038	24300.926	36147.37
0.36	17038	24390.593	36254.075
0.54	17038	24516.435	36403.551
0.72	17038	24683.911	36601.994
0.9	17038	24895.188	36851.574
1.08	17038	25151.613	37153.388
1.26	17038	25454.273	37508.149
1.44	17038	25804.179	37916.41
1.62	17038	26202.317	38378.663
1.8	17038	26649.675	38895.388
1.98	17038	27147.234	39467.083
2.16	17038	27695.97	40094.287
2.34	17038	28296.837	40777.605
2.52	17038	28950.765	41517.726
2.7	17038	29658.662	42315.464
2.88	17038	30421.406	43171.785
3.06	17038	31239.859	44087.858
3.24	17038	32114.875	45065.108
3.42	17038	33047.303	46105.274
3.6	17038	34038.007	47210.472
3.78	17038	35087.856	48383.24
3.96	17038	36197.708	49626.557
4.14	17038	37368.361	50943.787
4.32	17038	38600.495	52338.507
4.5	17038	39894.616	53814.165
4.68	17038	41251.064	55373.496
4.86	17038	42670.079	57017.759
5.04	17038	44151.9	58746.069
5.22	17038	45696.446	60555.281
