r(x_rel=0)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.005	17040.35	17243.254	19409.445	21077.476	22932.548	24880.849	26862.203	30871.98	31892.727	32922.075	33958.55	34999.994	36044.215	47418.819	48029.689	50968.42	51306.593	51301.122	50469.599	47164.666	46204.446	45225.734	44237.824	43245.42	42250.028	41251.12	40247.452	39238.275	38224.086	37206.713	36188.788	35172.905	34261.831
0.18	17038	17038.008	17040.865	17256.452	19451.393	21125.778	22984.382	24934.154	26915.881	30926.876	31948.112	32977.896	34014.697	35056.341	36100.652	47473.848	48084.597	50995.857	51314.667	51290.994	50435.286	47113.34	46151.888	45172.525	44184.307	43191.74	42196.19	41197.056	40193.096	39183.616	38169.194	37151.721	36133.848	35118.144	34207.282
0.36	17038	17038.011	17041.424	17269.923	19493.448	21174.144	23036.248	24987.468	26969.561	30981.785	32003.51	33033.727	34070.85	35112.692	36157.09	47528.872	48139.498	51022.776	51322.199	51280.425	50400.752	47061.972	46099.307	45119.305	44130.784	43138.056	42142.347	41142.985	40138.73	39128.949	38114.298	37096.728	36078.912	35063.388	34152.739
0.54	17038	17038.016	17042.306	17289.363	19552.552	21241.991	23108.926	25062.127	27044.719	31058.687	32081.096	33111.913	34149.479	35191.591	36236.105	47605.896	48216.345	51059.353	51331.596	51264.699	50351.939	46989.968	46025.644	45044.773	44055.841	43062.891	42066.955	41067.269	40062.601	39052.399	38037.432	37019.738	36002.01	34986.744	34076.393
0.72	17038	17038.025	17043.669	17316.183	19631.351	21332.227	23205.452	25161.197	27144.427	31160.752	32184.063	33215.668	34253.81	35296.267	36340.924	47708.052	48318.26	51105.889	51342.032	51242.204	50286.372	46894.3	45927.843	44945.864	43956.409	42963.169	41966.927	40966.802	39961.58	38950.825	37935.451	36917.606	35900.01	34885.097	33975.143
0.9	17038	17038.042	17045.721	17351.533	19730.983	21445.973	23326.909	25285.718	27269.717	31289.069	32313.51	33346.087	34384.931	35427.803	36472.625	47836.372	48446.263	51161.165	51351.927	51211.375	50202.714	46773.863	45804.834	44821.53	43831.453	42837.855	41841.219	40840.529	39834.605	38823.16	37807.295	36789.287	35771.881	34757.424	33847.971
1.08	17038	17038.073	17048.764	17396.668	19852.228	21583.893	23473.864	25436.183	27421.064	31444.172	32469.967	33503.694	34543.356	35586.7	36631.698	47991.312	48600.795	51223.175	51359.18	51170.429	50099.829	46628.06	45656.078	44671.273	43680.491	42686.469	41689.342	40687.951	39681.169	38668.903	37652.472	36634.305	35617.162	34603.28	33694.431
1.26	17038	17038.128	17053.231	17453.034	19995.777	21746.505	23646.694	25612.875	27598.733	31626.384	32653.756	33688.797	34729.376	35773.234	36818.409	48173.102	48782.066	51289.285	51361.239	51117.326	49976.573	46456.474	45481.237	44494.8	43503.253	42508.742	41511.017	40508.775	39500.976	38487.762	37470.71	36452.409	35435.623	34422.44	33514.302
1.44	17038	17038.229	17059.74	17522.293	20162.313	21934.274	23845.693	25815.976	27802.892	31835.941	32865.101	33901.603	34943.179	35987.577	37032.914	48381.865	48990.165	51356.28	51355.146	51049.79	49831.749	46258.77	45280.063	44291.917	43299.566	42304.501	41306.056	40302.801	39293.823	38279.546	37261.838	36243.453	35227.138	34214.793	33307.467
1.62	17038	17038.412	17069.152	17606.313	20352.542	22147.653	24071.116	26045.618	28033.66	32073.035	33104.183	34142.273	35184.902	36229.845	37275.315	48617.665	49225.099	51420.381	51337.586	50965.338	49664.09	46034.65	45052.357	44062.482	43069.309	42073.619	41074.32	40069.876	39059.554	38044.113	37025.74	36007.353	34991.645	33980.286	33073.869
