t(s)	total_voltage(V)
0	4.1809414
0.05	4.0349362
0.1	4.0343183
0.2	4.0331097
0.4	4.030816
0.8	4.0267174
1.6	4.0200778
3.2	4.0105222
6.4	3.9979154
12.8	3.981698
25.6	3.9618412
38.4	3.9501474
51.2	3.9431189
64	3.9386673
89.6	3.9332396
100	3.931764
125.6	3.9286707
151.2	3.9256091
176.8	3.922069
200	3.9181098
225.6	3.9128692
276.8	3.9000575
328	3.8853664
400	3.8638841
451.2	3.8490893
541.2	3.8250342
631.2	3.8034915
721.2	3.7833684
800	3.7655738
890	3.7442437
980	3.721516
1000	3.716236
1090	3.6912986
1180	3.6641977
1200	3.6578732
1290	3.6288572
1380	3.6012918
1400	3.5956149
1490	3.5719403
1580	3.5511146
1600	3.5468176
1690	3.5286899
1780	3.51193
1870	3.4957463
1960	3.4795358
2000	3.4722171
2090	3.4553294
2100	3.4534088
2190	3.4356529
2200	3.4336214
2290	3.4147125
2300	3.4125335
2390	3.3920779
2400	3.3896998
2490	3.3672174
2500	3.3645961
2590	3.3401281
2680	3.3151497
2770	3.2908799
2860	3.2664888
2950	3.2393861
3040	3.2055549
3130	3.1544582
3220	3.0745772
3310	2.9870205
3400	2.8877102
3490	2.7211213
3580	2.3741825
3600	3.071906
3630	3.2399684
3660	3.3220625
3690	3.3736855
3720	3.4111536
3780	3.477824
3870	3.5679972
3960	3.6301584
4000	3.6477356
4090	3.6760013
4100	3.6786594
4190	3.7018349
4200	3.7044193
4290	3.7283184
4380	3.7535773
4400	3.7593519
4490	3.7857165
4580	3.8120277
4670	3.8376943
4760	3.8629611
4800	3.8742334
4890	3.8997743
4900	3.9026117
4990	3.9278472
5000	3.9305936
5090	3.9546496
5100	3.9572559
5190	3.9802884
5200	3.9827992
5290	4.0048955
5300	4.0072964
5390	4.0285165
5400	4.0308425
5490	4.0517295
5500	4.0540595
5590	4.0753806
5600	4.0778019
5690	4.1002982
5700	4.1028853
5790	4.1270905
5800	4.1298825
5890	4.1558609
5900	4.1588246
5990	4.185765
6000	4.1887451
6090	4.2145874
