r(x_rel=0.25)	t=0	t=1000	t=1665
0	17038	24880.071	38256.548
0.18	17038	24976.604	38372.889
0.36	17038	25073.313	38489.264
0.54	17038	25209.076	38652.263
0.72	17038	25389.818	38868.616
0.9	17038	25617.912	39140.651
1.08	17038	25894.842	39469.514
1.26	17038	26221.8	39855.918
1.44	17038	26599.874	40300.391
1.62	17038	27030.11	40803.375
1.8	17038	27513.537	41365.283
1.98	17038	28051.181	41986.525
2.16	17038	28644.071	42667.525
2.34	17038	29293.251	43408.736
2.52	17038	29999.781	44210.641
2.7	17038	30764.74	45073.75
2.88	17038	31589.213	45998.582
3.06	17038	32474.276	46985.614
3.24	17038	33420.964	48035.2
3.42	17038	34430.254	49147.427
3.6	17038	35503.045	50321.898
3.78	17038	36640.162	51557.417
3.96	17038	37842.376	52851.574
4.14	17038	39110.432	54200.256
4.32	17038	40445.099	55597.151
4.5	17038	41847.202	57033.391
4.68	17038	43317.665	58497.535
4.86	17038	44857.543	59975.968
5.04	17038	46468.09	61453.321
5.22	17038	48150.453	62911.101
