r(x_rel=1)	t=0	t=1000	t=1665
0	29866	9819.7504	3756.0074
0.20206897	29866	9809.4949	3749.3292
0.40413793	29866	9799.242	3742.6387
0.6062069	29866	9784.8936	3733.2461
0.80827586	29866	9765.8694	3720.7404
1.0103448	29866	9741.9813	3704.9552
1.2124138	29866	9713.149	3685.7829
1.4144828	29866	9679.335	3663.1328
1.6165517	29866	9640.5235	3636.9175
1.8186207	29866	9596.7129	3607.047
2.0206897	29866	9547.9141	3573.4274
2.2227586	29866	9494.1512	3535.9606
2.4248276	29866	9435.4634	3494.5446
2.6268966	29866	9371.9078	3449.0749
2.8289655	29866	9303.561	3399.4462
3.0310345	29866	9230.5204	3345.5548
3.2331034	29866	9152.9032	3287.3005
3.4351724	29866	9070.8434	3224.5893
3.6372414	29866	8984.4868	3157.3354
3.8393103	29866	8893.9836	3085.4636
4.0413793	29866	8799.4801	3008.9098
4.2434483	29866	8701.1103	2927.621
4.4455172	29866	8598.9888	2841.5535
4.6475862	29866	8493.2058	2750.6688
4.8496552	29866	8383.8265	2654.9279
5.0517241	29866	8270.8941	2554.2823
5.2537931	29866	8154.4364	2448.6662
5.4558621	29866	8034.4757	2337.9902
5.657931	29866	7911.0383	2222.1426
5.86	29866	7784.1888	2101.0408
