r(x_rel=0.5)	t=0	t=1000	t=1665
0	29866	16641.594	5223.2193
0.20206897	29866	16626.993	5210.5098
0.40413793	29866	16612.391	5197.7993
0.6062069	29866	16591.944	5180.0028
0.80827586	29866	16564.817	5156.3914
1.0103448	29866	16530.73	5126.72
1.2124138	29866	16489.555	5090.874
1.4144828	29866	16441.228	5048.7889
1.6165517	29866	16385.713	5000.4222
1.8186207	29866	16322.991	4945.7433
2.0206897	29866	16253.055	4884.7273
2.2227586	29866	16175.905	4817.3528
2.4248276	29866	16091.542	4743.6005
2.6268966	29866	15999.965	4663.4523
2.8289655	29866	15901.166	4576.8911
3.0310345	29866	15795.124	4483.9004
3.2331034	29866	15681.801	4384.464
3.4351724	29866	15561.137	4278.566
3.6372414	29866	15433.045	4166.1901
3.8393103	29866	15297.409	4047.3184
4.0413793	29866	15154.088	3921.9305
4.2434483	29866	15002.916	3790.0018
4.4455172	29866	14843.706	3651.5012
4.6475862	29866	14676.264	3506.3901
4.8496552	29866	14500.391	3354.6207
5.0517241	29866	14315.891	3196.138
5.2537931	29866	14122.579	3030.8843
5.4558621	29866	13920.278	2858.812
5.657931	29866	13708.816	2679.9061
5.86	29866	13488.081	2494.2691
