x	t=0	t=1000	t=1665
0	0.00012716767	2.5937252	3.8615991
2.937931	0.00012716767	2.5980606	3.8566812
5.8758621	0.00012716767	2.6112581	3.8418369
8.8137931	0.00012716767	2.6334856	3.8171131
11.751724	0.00012716767	2.6650176	3.7826298
14.689655	0.00012716767	2.7062271	3.738512
17.627586	0.00012716767	2.7575745	3.6849546
20.565517	0.00012716767	2.8195901	3.6222068
23.503448	0.00012716767	2.8928449	3.5505441
26.441379	0.00012716767	2.9778897	3.4702853
29.37931	0.00012716767	3.0751234	3.3817671
32.317241	0.00012716767	3.1845114	3.2853902
35.255172	0.00012716767	3.3049703	3.1815612
38.193103	0.00012716767	3.4345842	3.0731543
41.131034	0.00012716767	3.5502238	2.9756604
44.068966	0.00012716767	3.6406587	2.8873968
47.006897	0.00012716767	3.6973254	2.8059736
49.944828	0.00012716767	3.7105638	2.729785
52.882759	0.00012716767	3.6718906	2.6577794
55.82069	0.00012716767	3.578199	2.5892007
58.758621	0.00012716767	3.4352213	2.5233772
61.696552	0.00012716767	3.2570409	2.459644
64.634483	0.00012716767	3.0611947	2.397292
67.572414	0.00012716767	2.8628124	2.3355241
70.510345	0.00012716767	2.6718898	2.2735302
73.448276	0.00012716767	2.4946868	2.2106468
76.386207	0.00012716767	2.3367597	2.1465065
79.324138	0.00012716767	2.2038222	2.081193
82.262069	0.00012716767	2.099625	2.0151985
85.2	0.00012716767	2.0244818	1.9490617
