t(s)	total_voltage(V)
0	4.1809414
0.05	3.9598036
0.1	3.958577
0.2	3.9561842
0.4	3.9516711
0.8	3.9437219
1.6	3.9312342
3.2	3.9143081
6.4	3.8942011
12.8	3.8722766
19.2	3.8593202
25.6	3.8496836
32	3.8411781
38.4	3.8330779
51.2	3.816999
64	3.8010064
76.8	3.7855944
102.4	3.755776
128	3.7296551
179.2	3.6881382
230.4	3.6559224
281.6	3.6257797
332.8	3.5927389
384	3.556046
435.2	3.5179117
486.4	3.4813181
537.6	3.4480467
588.8	3.4190585
640	3.3945548
691.2	3.3735311
742.4	3.3543338
793.6	3.3347537
844.8	3.3133815
896	3.2904176
947.2	3.2661961
998.4	3.2401813
1000	3.2393254
1051.2	3.2116249
1102.4	3.1832384
1153.6	3.1542908
1204.8	3.1248453
1256	3.0946308
1307.2	3.0628668
1358.4	3.0285491
1409.6	2.9893932
1460.8	2.940625
1512	2.8760462
1537.6	2.8347564
1563.2	2.7846353
1588.8	2.730646
1614.4	2.6791961
1640	2.6255639
1665.6	2.5564642
