r(x_rel=0.5)	t=0	t=1000	t=1665
0	17038	24211.379	36546.768
0.18	17038	24300.9	36653.825
0.36	17038	24390.566	36760.924
0.54	17038	24516.408	36910.954
0.72	17038	24683.884	37110.134
0.9	17038	24895.161	37360.644
1.08	17038	25151.584	37663.593
1.26	17038	25454.244	38019.704
1.44	17038	25804.148	38429.546
1.62	17038	26202.285	38893.634
1.8	17038	26649.641	39412.482
1.98	17038	27147.198	39986.635
2.16	17038	27695.932	40616.696
2.34	17038	28296.795	41303.354
2.52	17038	28950.721	42047.411
2.7	17038	29658.613	42849.815
2.88	17038	30421.352	43711.696
3.06	17038	31239.801	44634.404
3.24	17038	32114.81	45619.547
3.42	17038	33047.23	46669.015
3.6	17038	34037.925	47784.986
3.78	17038	35087.762	48969.892
3.96	17038	36197.6	50226.321
4.14	17038	37368.236	51556.848
4.32	17038	38600.35	52963.802
4.5	17038	39894.449	54449.037
4.68	17038	41250.871	56013.919
4.86	17038	42669.855	57659.893
5.04	17038	44151.643	59390.151
5.22	17038	45696.149	61211.981
