r(x_rel=0.75)	t=0	t=1000	t=1665
0	17038	23741.931	35184.478
0.18	17038	23826.422	35280.863
0.36	17038	23911.05	35377.262
0.54	17038	24029.82	35512.252
0.72	17038	24187.882	35691.376
0.9	17038	24387.279	35916.518
1.08	17038	24629.276	36188.57
1.26	17038	24914.893	36508.053
1.44	17038	25245.071	36875.318
1.62	17038	25620.725	37290.629
1.8	17038	26042.758	37754.203
1.98	17038	26512.052	38266.229
2.16	17038	27029.462	38826.88
2.34	17038	27595.797	39436.323
2.52	17038	28211.822	40094.733
2.7	17038	28878.269	40802.308
2.88	17038	29595.849	41559.306
3.06	17038	30365.274	42366.098
3.24	17038	31187.262	43223.252
3.42	17038	32062.514	44131.662
3.6	17038	32991.659	45092.727
3.78	17038	33975.177	46108.587
3.96	17038	35013.324	47182.412
4.14	17038	36106.105	48318.71
4.32	17038	37253.297	49523.586
4.5	17038	38454.495	50804.871
4.68	17038	39709.124	52171.996
4.86	17038	41016.354	53635.669
5.04	17038	42374.943	55207.713
5.22	17038	43782.781	56901.529
