r(x_rel=0)	t=0	t=1000	t=1665
0	17038	25683.427	40118.016
0.18	17038	25788.821	40241.131
0.36	17038	25894.41	40364.238
0.54	17038	26042.64	40536.569
0.72	17038	26239.967	40765.136
0.9	17038	26488.95	41052.244
1.08	17038	26791.15	41398.894
1.26	17038	27147.779	41805.568
1.44	17038	27559.912	42272.473
1.62	17038	28028.575	42799.641
1.8	17038	28554.799	43386.959
1.98	17038	29139.659	44034.173
2.16	17038	29784.308	44740.875
2.34	17038	30489.986	45506.472
2.52	17038	31257.99	46330.136
2.7	17038	32089.606	47210.74
2.88	17038	32985.998	48146.767
3.06	17038	33948.092	49136.194
3.24	17038	34976.496	50176.345
3.42	17038	36071.518	51263.716
3.6	17038	37233.3	52393.789
3.78	17038	38462.053	53560.838
3.96	17038	39758.285	54757.78
4.14	17038	41122.895	55976.086
4.32	17038	42557.042	57205.803
4.5	17038	44061.872	58435.661
4.68	17038	45638.309	59653.175
4.86	17038	47287.189	60844.63
5.04	17038	49009.7	61995.013
5.22	17038	50807.378	63089.097
