r(x_rel=0.25)	t=0	t=1000	t=1665
0	29866	18516.881	6217.6608
0.20206897	29866	18506.275	6200.1094
0.40413793	29866	18495.666	6182.5681
0.6062069	29866	18480.806	6158.0318
0.80827586	29866	18461.083	6125.5218
1.0103448	29866	18436.28	6084.7367
1.2124138	29866	18406.29	6035.5659
1.4144828	29866	18371.039	5977.9775
1.6165517	29866	18330.467	5911.9808
1.8186207	29866	18284.514	5837.6099
2.0206897	29866	18233.117	5754.9165
2.2227586	29866	18176.207	5663.9648
2.4248276	29866	18113.702	5564.8287
2.6268966	29866	18045.514	5457.5892
2.8289655	29866	17971.539	5342.3322
3.0310345	29866	17891.667	5219.1467
3.2331034	29866	17805.776	5088.1224
3.4351724	29866	17713.74	4949.3484
3.6372414	29866	17615.428	4802.9114
3.8393103	29866	17510.708	4648.8939
4.0413793	29866	17399.452	4487.3737
4.2434483	29866	17281.539	4318.4227
4.4455172	29866	17156.855	4142.1071
4.6475862	29866	17025.294	3958.4869
4.8496552	29866	16886.755	3767.6165
5.0517241	29866	16741.137	3569.5447
5.2537931	29866	16588.331	3364.3136
5.4558621	29866	16428.213	3151.9583
5.657931	29866	16260.634	2932.5049
5.86	29866	16085.463	2706.0225
