r(x_rel=1)	t=0	t=1000	t=1665
0	17038	23674.215	34765.018
0.18	17038	23757.145	34855.199
0.36	17038	23840.222	34945.355
0.54	17038	23956.842	35071.516
0.72	17038	24112.083	35238.771
0.9	17038	24307.973	35448.744
1.08	17038	24545.774	35702.09
1.26	17038	24826.502	35999.066
1.44	17038	25151.079	36339.71
1.62	17038	25520.398	36723.912
1.8	17038	25935.329	37151.432
1.98	17038	26396.723	37621.901
2.16	17038	26905.399	38134.802
2.34	17038	27462.132	38689.449
2.52	17038	28067.65	39284.959
2.7	17038	28722.631	39920.225
2.88	17038	29427.719	40593.897
3.06	17038	30183.537	41304.39
3.24	17038	30990.704	42049.931
3.42	17038	31849.818	42828.672
3.6	17038	32761.398	43638.908
3.78	17038	33725.767	44479.423
3.96	17038	34742.916	45350.003
4.14	17038	35812.388	46252.089
4.32	17038	36933.247	47189.508
4.5	17038	38104.145	48169.067
4.68	17038	39323.41	49200.604
4.86	17038	40589.028	50295.911
5.04	17038	41898.407	51465.908
5.22	17038	43247.742	52715.626
