r(x_rel=0)	t=0	t=1000	t=2000	t=3620
0	17038	21087.013	30871.36	47619.881
0.18	17038	21135.318	30926.256	47674.867
0.36	17038	21183.685	30981.165	47729.848
0.54	17038	21251.531	31058.069	47806.81
0.72	17038	21341.762	31160.136	47908.884
0.9	17038	21455.493	31288.459	48037.099
1.08	17038	21593.381	31443.569	48191.911
1.26	17038	21755.934	31625.795	48373.552
1.44	17038	21943.607	31835.37	48582.147
1.62	17038	22156.841	32072.489	48817.762
1.8	17038	22396.076	32337.324	49080.428
1.98	17038	22661.758	32630.038	49370.151
2.16	17038	22954.337	32950.79	49686.918
2.34	17038	23274.264	33299.736	50030.705
2.52	17038	23621.982	33677.028	50401.474
2.7	17038	23997.923	34082.819	50799.183
2.88	17038	24402.494	34517.251	51223.783
3.06	17038	24836.065	34980.463	51675.228
3.24	17038	25298.958	35472.584	52153.478
3.42	17038	25791.429	35993.735	52658.503
3.6	17038	26313.655	36544.03	53190.29
3.78	17038	26865.719	37123.573	53748.838
3.96	17038	27447.598	37732.46	54334.151
4.14	17038	28059.15	38370.77	54946.212
4.32	17038	28700.109	39038.557	55584.944
4.5	17038	29370.082	39735.828	56250.149
4.68	17038	30068.549	40462.515	56941.43
4.86	17038	30794.871	41218.45	57658.12
5.04	17038	31548.286	42003.342	58399.256
5.22	17038	32327.735	42816.604	59163.495
