r(x_rel=0.25)	t=0	t=1000	t=2000	t=3620
0	17038	20792.249	30390.712	46777.984
0.18	17038	20838.644	30444.727	46832.48
0.36	17038	20885.105	30498.748	46886.975
0.54	17038	20950.291	30574.39	46963.263
0.72	17038	21037.008	30674.754	47064.457
0.9	17038	21146.348	30800.888	47191.588
1.08	17038	21278.966	30953.285	47345.121
1.26	17038	21435.38	31132.224	47525.304
1.44	17038	21616.059	31337.893	47732.28
1.62	17038	21821.462	31570.429	47966.137
1.8	17038	22052.05	31829.942	48226.931
1.98	17038	22308.292	32116.529	48514.698
2.16	17038	22590.66	32430.278	48829.458
2.34	17038	22899.633	32771.272	49171.222
2.52	17038	23235.686	33139.589	49539.995
2.7	17038	23599.289	33535.305	49935.775
2.88	17038	23990.896	33958.496	50358.559
3.06	17038	24410.942	34409.232	50808.344
3.24	17038	24859.831	34887.58	51285.129
3.42	17038	25337.929	35393.607	51788.916
3.6	17038	25845.553	35927.374	52319.716
3.78	17038	26382.962	36488.944	52877.544
3.96	17038	26950.35	37078.374	53462.419
4.14	17038	27547.841	37695.721	54074.354
4.32	17038	28175.482	38341.037	54713.343
4.5	17038	28833.247	39014.362	55379.336
4.68	17038	29521.03	39715.715	56072.217
4.86	17038	30238.655	40445.087	56791.772
5.04	17038	30985.867	41202.427	57537.675
5.22	17038	31762.147	41987.457	58309.338
