x	t=0	t=1000	t=2000	t=3620
0	0	0	0	0
2.937931	0	-8.2990375e-05	-7.9134156e-05	-9.2443684e-05
5.8758621	0	-0.00033117525	-0.00031577487	-0.00036864185
8.8137931	0	-0.00074221175	-0.00070765898	-0.0008252342
11.751724	0	-0.0013122547	-0.001251092	-0.0014567247
14.689655	0	-0.0020360713	-0.0019410791	-0.0022555703
17.627586	0	-0.00290724	-0.0027715317	-0.0032124226
20.565517	0	-0.0039184442	-0.0037355505	-0.0043166129
23.503448	0	-0.0050618411	-0.0048257665	-0.0055567434
26.441379	0	-0.0063294681	-0.0060347098	-0.0069212997
29.37931	0	-0.0077136315	-0.0073551613	-0.0083992231
32.317241	0	-0.0092072311	-0.0087804544	-0.0099803726
35.255172	0	-0.010803984	-0.010304702	-0.011655839
38.193103	0	-0.012498539	-0.011922941	-0.013418112
41.131034	0	-0.014286476	-0.013631196	-0.015261109
44.068966	0	-0.016164216	-0.01542649	-0.017180136
47.006897	0	-0.018128857	-0.017306791	-0.019171788
49.944828	0	-0.020177969	-0.019270937	-0.021233835
52.882759	0	-0.022309395	-0.021318531	-0.023365101
55.82069	0	-0.024521116	-0.023449819	-0.025565356
58.758621	0	-0.026811225	-0.025665556	-0.027835223
61.696552	0	-0.029178046	-0.02796686	-0.030176121
64.634483	0	-0.031620372	-0.030355066	-0.032590215
67.572414	0	-0.034137779	-0.0328316	-0.03508039
70.510345	0	-0.036730932	-0.035397892	-0.037650248
73.448276	0	-0.03940185	-0.03805536	-0.040304127
76.386207	0	-0.042154077	-0.040805492	-0.043047147
79.324138	0	-0.04499278	-0.043650003	-0.045885259
82.262069	0	-0.047924809	-0.046591045	-0.048825334
85.2	0	-0.050958762	-0.049631422	-0.051875274
85.613793	0	-0.051209145	-0.049882194	-0.052127661
86.027586	0	-0.051376433	-0.050049828	-0.052296612
86.441379	0	-0.05154378	-0.050217516	-0.052465624
86.855172	0	-0.051711187	-0.050385258	-0.052634699
87.268966	0	-0.051878655	-0.050553056	-0.052803838
87.682759	0	-0.052046185	-0.050720912	-0.052973041
88.096552	0	-0.052213779	-0.050888827	-0.05314231
88.510345	0	-0.052381438	-0.051056801	-0.053311646
88.924138	0	-0.052549163	-0.051224837	-0.053481051
89.337931	0	-0.052716956	-0.051392935	-0.053650526
89.751724	0	-0.052884817	-0.051561097	-0.053820071
90.165517	0	-0.053052749	-0.051729325	-0.053989689
90.57931	0	-0.053220752	-0.051897619	-0.05415938
90.993103	0	-0.053388828	-0.052065981	-0.054329146
91.406897	0	-0.053556978	-0.052234412	-0.054498988
91.82069	0	-0.053725203	-0.052402913	-0.054668907
92.234483	0	-0.053893505	-0.052571486	-0.054838905
92.648276	0	-0.054061884	-0.052740132	-0.055008982
93.062069	0	-0.054230343	-0.052908853	-0.05517914
93.475862	0	-0.054398882	-0.053077649	-0.055349379
93.889655	0	-0.054567503	-0.053246522	-0.055519703
94.303448	0	-0.054736207	-0.053415473	-0.05569011
94.717241	0	-0.054904995	-0.053584503	-0.055860604
95.131034	0	-0.055073868	-0.053753614	-0.056031184
95.544828	0	-0.055242828	-0.053922808	-0.056201852
95.958621	0	-0.055411877	-0.054092084	-0.05637261
96.372414	0	-0.055581014	-0.054261445	-0.056543459
96.786207	0	-0.055750243	-0.054430892	-0.056714399
97.2	0	-0.055964085	-0.054644924	-0.056930118
99.806897	0	-0.057714352	-0.056394631	-0.058694324
102.41379	0	-0.059412862	-0.058089874	-0.060408159
105.02069	0	-0.061059701	-0.059731079	-0.06207158
107.62759	0	-0.062654751	-0.061318443	-0.063684339
110.23448	0	-0.064197716	-0.062851967	-0.065246007
112.84138	0	-0.065688147	-0.064331483	-0.066755995
115.44828	0	-0.067125461	-0.06575667	-0.068213578
118.05517	0	-0.068508958	-0.067127078	-0.069617909
120.66207	0	-0.069837843	-0.068442145	-0.070968036
123.26897	0	-0.071111232	-0.069701213	-0.072262922
125.87586	0	-0.072328176	-0.07090354	-0.073501457
128.48276	0	-0.073487672	-0.072048321	-0.074682473
131.08966	0	-0.074588674	-0.073134693	-0.07580476
133.69655	0	-0.075630107	-0.074161754	-0.076867082
136.30345	0	-0.076610883	-0.075128572	-0.077868187
138.91034	0	-0.077529909	-0.076034201	-0.078806824
141.51724	0	-0.078386103	-0.076877686	-0.079681757
144.12414	0	-0.079178401	-0.077658081	-0.080491779
146.73103	0	-0.079905774	-0.078374454	-0.081235723
149.33793	0	-0.080567234	-0.079025901	-0.081912476
151.94483	0	-0.081161848	-0.079611554	-0.082520993
154.55172	0	-0.081688746	-0.080130594	-0.083060308
157.15862	0	-0.082147132	-0.080582254	-0.083529544
159.76552	0	-0.082536293	-0.08096583	-0.083927923
162.37241	0	-0.082855603	-0.08128069	-0.084254778
164.97931	0	-0.083104536	-0.081526277	-0.084509556
167.58621	0	-0.083282667	-0.081702117	-0.084691832
170.1931	0	-0.083389683	-0.081807824	-0.084801306
172.8	0	-0.083425379	-0.081843101	-0.084837814
