r(x_rel=0.25)	t=0	t=1000	t=2000	t=3620
0	29866	24002.569	16618.892	2203.3523
0.20206897	29866	23996.662	16612.911	2195.7592
0.40413793	29866	23990.752	16606.93	2188.1754
0.6062069	29866	23982.475	16598.555	2177.5781
0.80827586	29866	23971.487	16587.444	2163.5557
1.0103448	29866	23957.672	16573.482	2145.9942
1.2124138	29866	23940.968	16556.614	2124.8663
1.4144828	29866	23921.341	16536.812	2100.183
1.6165517	29866	23898.761	16514.058	2071.9773
1.8186207	29866	23873.205	16488.339	2040.2968
2.0206897	29866	23844.651	16459.645	2005.1999
2.2227586	29866	23813.077	16427.971	1966.7532
2.4248276	29866	23778.462	16393.311	1925.0291
2.6268966	29866	23740.78	16355.661	1880.1038
2.8289655	29866	23700.009	16315.015	1832.0544
3.0310345	29866	23656.122	16271.369	1780.9561
3.2331034	29866	23609.09	16224.718	1726.8792
3.4351724	29866	23558.884	16175.055	1669.8851
3.6372414	29866	23505.473	16122.371	1610.0229
3.8393103	29866	23448.823	16066.656	1547.3246
4.0413793	29866	23388.898	16007.895	1481.8019
4.2434483	29866	23325.658	15946.071	1413.4415
4.4455172	29866	23259.065	15881.164	1342.2026
4.6475862	29866	23189.073	15813.151	1268.0147
4.8496552	29866	23115.638	15742.003	1190.7772
5.0517241	29866	23038.711	15667.692	1110.3609
5.2537931	29866	22958.239	15590.183	1026.6123
5.4558621	29866	22874.167	15509.441	939.36125
5.657931	29866	22786.438	15425.431	848.43048
5.86	29866	22695.013	15338.135	753.67205
