r(x_rel=0)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	29866	29750.722	29228.378	28000.558	25558.481	24272.377	22797.793	21137.971	19633.424	17007.454	16315.981	15586.809	14806.484	13960.952	13039.267	2444.1953	2044.2465	3759.3672	4458.6243	5106.2416	6360.9973	9134.9812	9800.2718	10429.221	11025.982	11601.569	12168.662	12739.891	13325.003	13930.283	14560.137	15218.517	15909.798	16639.324	17333.064
0.20206897	29866	29747.609	29223.411	27995.482	25553.406	24266.8	22791.171	21131.136	19627.794	17001.884	16310.147	15580.608	14799.803	13953.675	13031.332	2436.4066	2040.4585	3765.3568	4464.1681	5111.3927	6366.3151	9140.6433	9805.6147	10434.255	11030.791	11606.254	12173.333	12744.645	13329.904	13935.37	14565.444	15224.076	15915.648	16645.514	17339.594
0.40413793	29866	29744.476	29218.441	27990.407	25548.33	24261.221	22784.546	21124.303	19622.166	16996.313	16304.311	15574.407	14793.121	13946.395	13023.394	2428.6285	2036.7127	3771.345	4469.7097	5116.5428	6371.6343	9146.3041	9810.9561	10439.287	11035.6	11610.939	12178.003	12749.399	13334.805	13940.459	14570.751	15229.635	15921.5	16651.706	17346.125
0.6062069	29866	29740.048	29211.481	27983.301	25541.223	24253.407	22775.266	21114.741	19614.291	16988.512	16296.138	15565.72	14783.761	13936.198	13012.275	2417.762	2031.5592	3779.7259	4477.4633	5123.7506	6379.0843	9154.2263	9818.4311	10446.33	11042.331	11617.497	12184.543	12756.056	13341.668	13947.584	14578.184	15237.421	15929.694	16660.377	17355.273
0.80827586	29866	29734.101	29202.243	27973.877	25531.793	24243.035	22762.947	21102.065	19603.852	16978.161	16285.292	15554.191	14771.336	13922.661	12997.516	2403.3892	2024.8845	3790.8385	4487.7405	5133.3081	6388.9724	9164.7304	9828.3414	10455.668	11051.256	11626.195	12193.218	12764.889	13350.775	13957.039	14588.047	15247.754	15940.57	16671.886	17367.413
1.0103448	29866	29726.513	29190.628	27962.037	25519.944	24229.994	22747.455	21086.152	19590.748	16965.15	16271.657	15539.695	14755.712	13905.636	12978.956	2385.4004	2016.7582	3804.7927	4500.6398	5145.3099	6401.4046	9177.9198	9840.7842	10467.394	11062.466	11637.122	12204.119	12775.99	13362.221	13968.924	14600.445	15260.743	15954.241	16686.356	17382.676
1.2124138	29866	29717.182	29176.587	27947.739	25505.628	24214.228	22728.72	21066.952	19574.938	16949.428	16255.177	15522.171	14736.822	13885.05	12956.515	2363.78	2007.3304	3821.6349	4516.2001	5159.7966	6416.4329	9193.8381	9855.7998	10481.546	11075.999	11650.317	12217.287	12789.402	13376.052	13983.286	14615.428	15276.44	15970.765	16703.845	17401.125
1.4144828	29866	29706.005	29160.091	27930.961	25488.821	24195.704	22706.702	21044.444	19556.405	16930.963	16235.819	15501.583	14714.622	13860.855	12930.143	2338.5599	1996.8092	3841.3862	4534.4362	5176.7873	6434.0896	9212.5048	9873.4058	10498.144	11091.874	11665.801	12232.745	12805.149	13392.294	14000.152	14633.026	15294.878	15990.175	16724.39	17422.799
1.6165517	29866	29692.875	29141.118	27911.689	25469.505	24174.394	22681.365	21018.623	19535.145	16909.736	16213.558	15477.901	14689.082	13833.014	12899.801	2309.8045	1985.4554	3864.0551	4555.351	5196.2908	6454.3983	9233.9279	9893.6089	10517.193	11110.1	11683.584	12250.506	12823.25	13410.965	14019.543	14653.259	15316.079	16012.496	16748.019	17447.724
1.8186207	29866	29677.679	29119.651	27889.916	25447.668	24150.278	22652.682	20989.492	19511.157	16885.729	16188.374	15451.102	14660.173	13801.496	12865.458	2277.6084	1973.5815	3889.6426	4578.9395	5218.3104	6477.3785	9258.1084	9916.4091	10538.696	11130.681	11703.675	12270.581	12843.714	13432.079	14041.474	14676.143	15340.059	16037.746	16774.752	17475.924
2.0206897	29866	29660.302	29095.676	27865.638	25423.301	24123.335	22620.625	20957.064	19484.45	16858.929	16160.251	15421.166	14627.869	13766.271	12827.082	2242.0967	1961.5535	3918.1447	4605.1921	5242.8459	6503.0485	9285.0426	9941.8019	10562.651	11153.618	11726.076	12292.977	12866.554	13455.647	14065.956	14701.692	15366.836	16065.943	16804.609	17507.419
2.2227586	29866	29640.627	29069.179	27838.851	25396.394	24093.545	22585.167	20921.352	19455.032	16829.322	16129.172	15388.071	14592.146	13727.308	12784.644	2203.4283	1949.7923	3949.5533	4634.0952	5269.8949	6531.4258	9314.7238	9969.7801	10589.053	11178.91	11750.79	12317.701	12891.777	13481.681	14093.002	14729.921	15396.423	16097.105	16837.61	17542.228
