r(x_rel=0.5)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
3.2331034	29866	29462.92	28760.405	27298.796	24354.708	22752.487	21070.941	19569.584	18112.237	15038.263	14209.379	13347.017	12459.952	11573.296	10717.515	1892.5912	1872.9765	4306.9794	5040.6483	5760.6858	7262.6805	10272.716	10971.614	11655.897	12333.806	13015.178	13713.478	14441.402	15207.234	16015.757	16868.948	17759.606	18649.871	19471.373	20124.08
3.4351724	29866	29422.555	28711.427	27248.805	24303.423	22695.366	21015.103	19520.407	18062.005	14983.28	14152.134	13287.47	12399.039	11513.062	10659.977	1849.7406	1879.4209	4358.678	5090.075	5809.8047	7315.3858	10321.303	11018.877	11702.355	12379.996	13061.846	13761.604	14491.785	15260.343	16071.861	16928.113	17821.044	18710.111	19525.429	20171.784
3.6372414	29866	29378.706	28659.372	27195.809	24248.979	22634.638	20956.115	19468.308	18008.698	14924.891	14091.329	13224.236	12334.419	11449.273	10599.12	1806.1111	1890.8265	4413.3735	5142.3994	5861.9173	7371.3474	10372.743	11068.939	11751.588	12428.969	13111.365	13812.715	14545.318	15316.782	16131.484	16990.981	17886.259	18773.833	19582.384	20222.071
3.8393103	29866	29331.274	28604.227	27139.81	24191.361	22570.273	20894.024	19413.286	17952.307	14863.077	14026.945	13157.296	12266.09	11381.945	10534.971	1762.3462	1908.0828	4471.044	5197.6111	5917.0345	7430.5774	10427.024	11121.792	11803.592	12480.726	13163.746	13866.828	14602.023	15376.576	16194.653	17057.576	17955.262	18841.001	19642.172	20274.897
4.0413793	29866	29280.167	28545.982	27080.807	24130.554	22502.239	20828.878	19355.339	17892.825	14797.821	13958.958	13086.634	12194.049	11311.098	10467.558	1719.2751	1932.1052	4531.6656	5255.6996	5975.1689	7493.0878	10484.133	11177.429	11858.365	12535.269	13218.998	13923.961	14661.922	15439.748	16261.395	17127.924	18028.063	18911.576	19704.722	20330.22
4.2434483	29866	29225.302	28484.627	27018.801	24066.539	22430.506	20760.732	19294.463	17830.243	14729.102	13887.347	13012.231	12118.295	11236.752	10396.913	1677.9656	1963.8006	4595.2127	5316.6554	6036.3351	7558.8899	10544.059	11235.842	11915.904	12592.599	13277.132	13984.134	14725.04	15506.327	16331.736	17202.051	18104.67	18985.508	19769.958	20387.997
4.4455172	29866	29166.608	28420.155	26953.792	23999.297	22355.039	20689.645	19230.652	17764.553	14656.898	13812.088	12934.07	12038.826	11158.931	10323.067	1639.7915	2004.0163	4661.658	5380.4692	6100.5495	7627.9944	10606.788	11297.024	11976.204	12652.719	13338.161	14047.368	14791.4	15576.339	16405.708	17279.984	18185.09	19062.745	19837.802	20448.186
4.6475862	29866	29104.024	28352.56	26885.781	23928.807	22275.807	20615.681	19163.898	17695.747	14581.188	13733.156	12852.132	11955.645	11077.663	10246.053	1606.5181	2053.4645	4730.9728	5447.1332	6167.8307	7700.4112	10672.307	11360.966	12039.264	12715.633	13402.097	14113.684	14861.031	15649.814	16483.34	17361.753	18269.326	19143.226	19908.169	20510.747
4.8496552	29866	29037.502	28281.839	26814.768	23855.046	22192.774	20538.908	19094.191	17623.817	14501.947	13650.526	12766.398	11868.755	10992.975	10165.908	1580.4105	2112.6164	4803.127	5516.6408	6238.1998	7776.1489	10740.602	11427.661	12105.08	12781.342	13468.957	14183.105	14933.96	15726.782	16564.665	17447.386	18357.383	19226.881	19980.973	20575.641
5.0517241	29866	28967.012	28207.992	26740.753	23777.989	22105.907	20459.399	19021.52	17548.754	14419.151	13564.17	12676.85	11778.16	10904.902	10082.668	1564.3718	2181.5535	4878.0894	5588.9869	6311.6803	7855.2148	10811.659	11497.1	12173.649	12849.851	13538.756	14255.658	15010.216	15807.277	16649.716	17536.913	18449.259	19313.635	20056.124	20642.834
5.2537931	29866	28892.539	28131.018	26663.738	23697.607	22015.171	20377.23	18945.869	17470.551	14332.772	13474.06	12583.47	11683.869	10813.479	9996.3712	1562.1197	2259.7625	4955.8283	5664.1688	6388.2982	7937.6145	10885.464	11569.276	12244.968	12921.165	13611.511	14331.368	15089.831	15891.33	16738.53	17630.365	18544.95	19403.402	20133.53	20712.293
5.4558621	29866	28814.086	28050.92	26583.721	23613.872	21920.535	20292.479	18867.223	17389.199	14242.784	13380.168	12486.24	11585.891	10718.745	9907.0566	1578.4103	2345.8551	5036.3113	5742.1862	6468.0824	8023.3515	10962.002	11644.181	12319.036	12995.289	13687.242	14410.264	15172.836	15978.979	16831.141	17727.773	18644.448	19496.086	20213.098	20783.988
5.657931	29866	28731.675	27967.704	26500.704	23526.749	21821.968	20205.225	18785.564	17304.691	14149.156	13282.464	12385.143	11484.24	10620.741	9814.7635	1619.3272	2437.1866	5119.506	5823.0417	6551.0642	8112.4269	11041.26	11721.808	12395.849	13072.23	13765.97	14492.375	15259.266	16070.258	16927.589	17829.169	18747.738	19591.583	20294.735	20857.895
5.86	29866	28645.366	27881.395	26414.706	23436.224	21719.465	20115.568	18700.895	17217.038	14051.882	13180.941	12280.189	11378.957	10519.537	9719.5528	1692.5414	2529.3414	5205.3613	5906.722	6637.2572	8204.817	11123.204	11802.129	12475.387	13151.977	13847.699	14577.712	15349.134	16165.184	17027.887	17934.558	18854.776	19689.757	20378.335	20933.974
