t(s)	jtot_cons
0	0
100	0.16633492
200	0.14131243
400	0.12148866
800	0.27736549
1000	0.46406126
1200	0.55580959
1400	0.31710394
1600	0.21131411
2000	0.44202287
2100	0.5295479
2200	0.6193117
2300	0.71304371
2400	0.80635946
2500	0.87040532
3600	-0.44080595
3660	-0.230377
4000	-0.19363697
4100	-0.10649438
4200	-0.15928885
4400	-0.32654567
4800	-0.097081063
4900	-0.024615543
5000	0.020508212
5100	0.015647098
5200	-0.10693523
5300	-0.20943803
5400	-0.25270281
5500	-0.26935073
5600	-0.28174574
5700	-0.29857463
5800	-0.32317723
5900	-0.35781642
6000	-0.40331725
6090	-0.44356403
