r(x_rel=1)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
3.2331034	29866	29286.553	28203.231	25863.912	21331.778	19711.671	18220.358	16399.052	14292.805	10638.469	9988.5399	9425.07	8917.6485	8436.5318	7951.4147	1797.2223	1852.1915	4962.1232	6111.3016	7304.4196	9392.8095	13705.587	15054.152	16475.347	17882.893	19129.673	20141.794	21008.613	21843.358	22701.916	23599.618	24534.945	25501.029	26489.547	27391.5
3.4351724	29866	29226.936	28126.748	25782.989	21264.822	19662.232	18166.957	16331.129	14219.641	10589.252	9946.403	9388.1979	8883.9634	8404.0204	7917.9733	1760.0042	1867.5217	5032.8961	6192.5933	7385.2518	9458.577	13792.825	15148.411	16573.408	17977.657	19210.067	20206.176	21065.803	21900.302	22761.23	23661.726	24599.522	25567.54	26557.409	27460.103
3.6372414	29866	29161.929	28045.34	25697.17	21194.379	19610.009	18110.059	16258.794	14142.107	10537.429	9902.0172	9349.2996	8848.3519	8369.5642	7882.4331	1722.203	1888.771	5108.4703	6279.178	7470.6824	9528.0702	13885.723	15248.627	16677.476	18077.8	19294.46	20273.83	21126.305	21960.754	22824.25	23727.702	24668.093	25638.136	26629.412	27532.869
3.8393103	29866	29091.337	27958.97	25606.45	21120.556	19555.023	18049.609	16181.995	14060.215	10483.061	9855.4298	9308.4057	8810.8288	8333.162	7844.7754	1684.4554	1916.9456	5188.9615	6371.1029	7560.6434	9601.2607	13984.348	15354.844	16787.562	18183.242	19382.695	20344.672	21190.108	22024.734	22890.997	23797.567	24740.676	25712.831	26705.564	27609.804
4.0413793	29866	29014.975	27867.603	25510.826	21043.466	19497.29	17985.549	16100.678	13973.978	10426.21	9806.6901	9265.5474	8771.4089	8294.812	7804.9794	1647.5898	1953.0979	5274.4966	6468.4094	7655.0577	9678.1215	14088.773	15467.106	16903.676	18293.894	19474.6	20418.618	21257.204	22092.26	22961.499	23871.344	24817.291	25791.639	26785.874	27690.914
4.2434483	29866	28932.672	27771.208	25410.292	20963.235	19436.824	17917.816	16014.788	13883.414	10366.944	9755.849	9220.7569	8730.1067	8254.5112	7763.0224	1612.6809	1998.2948	5365.2132	6571.1326	7753.8387	9758.6279	14199.069	15585.458	17025.825	18409.653	19569.993	20495.591	21327.588	22163.355	23035.781	23949.057	24897.957	25874.573	26870.352	27776.202
4.4455172	29866	28844.271	27669.754	25304.844	20879.993	19373.635	17846.345	15924.271	13788.541	10305.331	9702.9592	9174.0667	8686.9367	8212.2555	7718.8791	1581.119	2053.5682	5461.2602	6679.2984	7856.8899	9842.758	14315.312	15709.946	17154.013	18530.401	19668.682	20575.513	21401.257	22238.042	23113.87	24030.731	24982.692	25961.648	26959.006	27865.674
4.6475862	29866	28749.633	27563.215	25194.478	20793.886	19307.728	17771.064	15829.071	13689.38	10241.443	9648.0745	9125.5098	8641.9131	8168.0393	7672.5215	1554.6991	2119.8433	5562.7972	6792.9228	7964.1049	9930.4938	14437.58	15840.614	17288.242	18656.003	19770.466	20658.314	21478.212	22316.347	23195.796	24116.39	25071.518	26052.879	27051.845	27959.335
4.8496552	29866	28648.64	27451.569	25079.19	20705.064	19239.103	17691.898	15729.133	13585.958	10175.355	9591.2502	9075.1194	8595.0493	8121.8555	7623.919	1535.7323	2197.8348	5669.9944	6912.0087	8075.3677	10021.821	14565.949	15977.507	17428.509	18786.31	19875.134	20743.929	21558.456	22398.296	23281.588	24206.062	25164.455	26148.279	27148.878	28057.188
5.0517241	29866	28541.196	27334.797	24958.974	20613.692	19167.754	17608.764	15624.405	13478.302	10107.142	9532.5422	9022.9287	8546.358	8073.6953	7573.0378	1527.1889	2287.901	5783.0308	7036.5448	8190.5528	10116.732	14700.501	16120.668	17574.806	18921.148	19982.471	20832.298	21641.998	22483.921	23371.278	24299.773	25261.523	26247.865	27250.114	28159.239
5.2537931	29866	28427.236	27212.882	24833.827	20519.939	19093.67	17521.579	15514.834	13366.445	10036.884	9472.0072	8968.9708	8495.8509	8023.5477	7519.8409	1532.8789	2389.8408	5902.0936	7166.5023	8309.5258	10215.223	14841.315	16270.141	17727.121	19060.326	20092.258	20923.369	21728.849	22573.252	23464.896	24397.55	25362.746	26351.65	27355.561	28265.49
5.4558621	29866	28306.719	27085.812	24703.744	20423.989	19016.831	17430.25	15400.371	13250.42	9964.6604	9409.7022	8913.2785	8443.5387	7971.3995	7464.2876	1557.683	2502.6154	6027.3749	7301.8331	8432.1445	10317.298	14988.471	16425.966	17885.434	19203.624	20204.276	21017.097	21819.027	22666.324	23562.478	24499.422	25468.143	26459.65	27465.229	28375.946
5.657931	29866	28179.636	26953.579	24568.721	20326.03	18937.212	17334.681	15280.973	13130.268	9890.554	9345.6843	8855.8838	8389.4306	7917.2351	7406.3335	1607.8453	2623.9699	6159.0695	7442.4669	8558.2603	10422.968	15142.052	16588.182	18049.715	19350.798	20318.312	21113.441	21912.551	22763.173	23664.057	24605.417	25577.737	26571.879	27579.124	28490.61
5.86	29866	28046.042	26816.209	24428.787	20226.281	18854.8	17234.796	15156.629	13006.058	9814.6648	9280.024	8796.8311	8333.5466	7861.0492	7345.9448	1691.2358	2749.9059	6297.3332	7588.2743	8687.6929	10532.228	15302.096	16756.784	18219.888	19501.542	20434.144	21212.35	22009.425	22863.813	23769.642	24715.539	25691.524	26688.324	27697.228	28609.457
