r(x_rel=0.5)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
0	17038	17038.004	17039.808	17191.56	19041.053	20587.685	22339.687	24203.475	26131.588	30077.138	31070.034	32063.474	33057.178	34051.163	35045.556	46027.068	46627.933	49649.793	50112.556	50277.852	49860.759	47270.263	46431.964	45550.186	44637.071	43700.42	42746.288	41779.452	40803.601	39821.434	38834.758	37844.646	36851.657	35856.095	34958.106
0.18	17038	17038.006	17040.2	17201.537	19079.335	20633.064	22388.919	24254.896	26184.284	30130.739	31123.673	32117.129	33110.845	34104.848	35099.268	46081.152	46682.006	49682.336	50128.726	50278.282	49837.973	47226.04	46385.206	45501.531	44586.981	43649.255	42694.335	41726.935	40750.689	39768.246	38781.367	37791.09	36797.956	35802.262	34904.168
0.36	17038	17038.009	17040.625	17211.729	19117.741	20678.51	22438.189	24306.339	26236.993	30184.342	31177.312	32170.783	33164.512	34158.534	35152.98	46135.238	46736.078	49714.452	50144.439	50278.32	49814.95	47181.74	46338.391	45452.831	44536.857	43598.066	42642.365	41674.406	40697.769	39715.051	38727.97	37737.53	36744.252	35748.427	34850.228
0.54	17038	17038.013	17041.295	17226.457	19171.774	20742.277	22507.245	24378.406	26310.811	30259.388	31252.409	32245.901	33239.647	34233.695	35228.179	46210.96	46811.774	49758.502	50165.466	50277.539	49782.216	47119.559	46272.727	45384.559	44466.615	43526.35	42569.569	41600.839	40623.663	39640.566	38653.206	37662.538	36669.059	35673.05	34774.705
0.72	17038	17038.02	17042.327	17246.816	19243.915	20827.117	22598.99	24474.086	26408.78	30358.945	31352.029	32345.547	33339.318	34333.401	35327.936	46311.409	46912.18	49815.304	50191.641	50275.039	49737.915	47036.79	46185.406	45293.832	44373.313	43431.125	42472.937	41503.204	40525.327	39541.737	38554.01	37563.043	36569.299	35573.048	34674.511
0.9	17038	17038.034	17043.878	17273.717	19335.282	20934.106	22714.478	24594.429	26531.941	30484.037	31477.195	32470.746	33464.547	34458.677	35453.277	46437.62	47038.317	49884.04	50221.801	50269.585	49680.868	46932.349	46075.356	45179.583	44255.894	43311.341	42351.425	41380.462	40401.726	39417.53	38429.351	37438.013	36443.937	35447.383	34548.609
1.08	17038	17038.059	17046.17	17308.175	19446.691	21063.897	22854.281	24739.966	26680.798	30635.132	31628.374	32621.962	33615.802	34609.99	35604.67	46590.063	47190.637	49963.142	50254.237	50259.637	49609.958	46805.557	45941.948	45041.222	44113.795	43166.459	42204.514	41232.111	40252.369	39267.462	38278.749	37286.967	36292.493	35295.578	34396.52
1.26	17038	17038.103	17049.525	17351.377	19578.889	21217.01	23018.802	24911.037	26855.654	30812.487	31805.818	32799.448	33793.334	34787.594	35782.371	46768.994	47369.369	50050.477	50286.807	50243.367	49523.993	46655.855	45784.697	44878.32	43946.634	42996.129	42031.883	41057.849	40076.97	39091.257	38101.931	37109.635	36114.699	35117.363	34217.979
1.44	17038	17038.184	17054.394	17404.714	19732.626	21393.92	23208.374	25107.903	27056.719	31016.256	32009.679	33003.355	33997.298	34991.643	35986.534	46974.57	47574.628	50143.408	50316.99	50218.683	49421.675	46482.721	45603.17	44690.511	43754.096	42800.084	41833.297	40857.469	39875.339	38888.734	37898.722	36905.846	35910.382	34912.57	34012.821
1.62	17038	17038.33	17061.407	17469.791	19908.68	21595.093	23423.303	25330.786	27284.158	31246.541	32240.055	33233.783	34227.792	35222.239	36217.264	47206.892	47806.449	50238.811	50341.928	50183.263	49301.595	46285.632	45396.948	44477.456	43535.903	42578.092	41608.562	40630.805	39647.331	38659.76	37668.997	36675.475	35679.423	34681.08	33780.93
