r(x_rel=1)	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
3.06	17038	17073.178	17390.307	18685.784	22211.64	24118.714	26066.988	28043.139	30033.852	34011.786	35003.71	35995.351	36987.013	37978.847	38970.96	49934.806	50485.233	50459.586	49826.642	49093.4	47441.458	43751.189	42784.894	41808.12	40824.423	39836.516	38846.305	37854.815	36862.304	35868.491	34872.875	33875.077	32875.071	31873.302	30971.03
3.24	17038	17097.361	17507.906	18959.154	22624.099	24557.72	26521.401	28507.046	30502.694	34481.765	35473.552	36465.119	37456.773	38448.65	39440.852	50407.722	50932.042	50376.939	49647.007	48841.507	47094.325	43318.175	42341.204	41356.401	40366.817	39374.77	38381.735	37388.313	36394.383	35399.366	34402.588	33403.625	32402.513	31399.827	30497.05
3.42	17038	17136.145	17656.991	19268.613	23066.766	25025.427	27003.881	28998.678	30998.84	34978.449	35970.084	36961.587	37953.247	38945.183	39937.495	50906.924	51391.529	50250.125	49426.556	48551.864	46714.014	42856.013	41868.809	40876.357	39881.245	38885.381	37889.785	36894.612	35899.356	34903.151	33905.173	32904.992	31902.737	30899.144	29995.938
3.6	17038	17196.535	17843.104	19616.663	23540.218	25522.179	27514.661	29518.171	31522.324	35501.831	36493.309	37484.76	38476.444	39468.457	40460.903	51431.713	51856.22	50074.744	49162.188	48222.222	46299.289	42364.256	41367.366	40367.741	39367.541	38368.243	37370.384	36373.66	35377.175	34379.789	33380.569	32379.115	31375.69	30371.218	29467.688
3.78	17038	17287.519	18071.952	20005.616	24044.953	26048.281	28053.956	30065.64	32073.16	36051.904	37043.227	38034.645	39026.374	40018.485	41011.09	51980.736	52314.937	49846.794	48851.117	47850.578	45849.055	41842.498	40836.569	39830.338	38825.567	37823.273	36823.481	35825.414	34827.79	33829.223	32828.709	31825.929	30821.315	29816.019	28912.307
3.96	17038	17419.753	18349.23	20437.539	24581.383	26604.002	28621.961	30641.183	32651.342	36628.658	37619.839	38611.25	39603.046	40595.279	41588.073	52551.38	52751.178	49562.736	48490.924	47435.205	45362.379	41290.379	40276.15	39263.969	38255.218	37250.411	36249.038	35249.841	34251.159	33251.393	32249.525	31245.366	30239.564	29233.524	28329.816
4.14	17038	17604.805	18680.422	20914.196	25149.831	27189.57	29218.855	31244.875	33256.84	37232.087	38223.149	39214.581	40206.471	41198.852	42191.871	53138.596	53141.069	49219.559	48079.596	46974.678	44838.494	40707.588	39685.887	38668.498	37656.421	36649.625	35647.036	34646.916	33647.238	32646.238	31642.945	30637.362	29630.387	28623.722	27720.256
4.32	17038	17854.109	19070.602	21436.999	25750.531	27805.17	29844.791	31876.763	33889.599	37862.183	38853.162	39844.649	40836.661	41829.217	42822.501	53732.596	53451.073	48814.845	47615.561	46467.891	44276.813	40093.868	39065.607	38043.834	37029.145	36020.91	35017.475	34016.62	33015.982	32013.692	31008.896	30001.847	28993.743	27986.612	27083.691
4.5	17038	18178.027	19524.224	22006.958	26383.624	28450.953	30499.901	32536.864	34549.537	38518.944	39509.884	40501.465	41493.629	42486.392	43479.989	54314.376	53636.239	48346.847	47097.705	45914.075	43676.929	39449.021	38415.189	37389.933	36373.393	35364.286	34360.366	33358.941	32357.346	31353.682	30347.299	29338.758	28329.597	27322.213	26420.215
4.68	17038	18585.284	20044.929	22624.648	27049.167	29127.03	31184.29	33225.163	35236.545	39202.368	40193.326	41185.041	42177.388	43170.393	44164.359	54846.939	53641.113	47814.543	46525.385	45312.802	43038.619	38772.91	37734.572	36706.804	35689.211	34679.802	33675.736	32673.867	31671.277	30666.134	29658.074	28648.032	27637.926	26630.56	25729.957
4.86	17038	19082.621	20635.36	23290.171	27747.13	29833.476	31898.036	33941.605	35950.489	39912.461	40903.499	41895.39	42887.954	43881.239	44875.642	55258.139	53408.38	47217.657	45898.424	44663.992	42361.838	38065.462	37023.758	35994.512	34976.684	33967.531	32963.625	31961.386	30957.717	29950.961	28941.136	27929.61	26918.718	25911.716	25013.09
5.04	17038	19674.328	21296.996	24003.14	28477.41	30570.338	32641.183	34686.097	36691.208	40649.23	41640.419	42632.529	43625.345	44618.952	45613.875	55407.075	52906.687	46556.631	45217.107	43967.908	41646.713	37326.67	36282.814	35253.174	34235.934	33227.565	32224.075	31221.481	30216.598	29208.073	28196.401	27183.442	26171.98	25165.774	24269.842
5.22	17038	20361.639	22029.81	24762.457	29239.64	31337.444	33413.549	35458.32	37458.342	41412.509	42403.925	43396.295	44389.397	45383.378	46378.919	55020.801	52202.314	45832.807	44482.401	43225.365	40893.732	36556.794	35512.067	34483.148	33467.302	32460.199	31457.318	30454.309	29448.022	28437.553	27423.969	26409.671	25397.924	24393.053	23500.681
